Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating
269,36285250,65%,98%,57%,Intel Core i5-9600K,99.9%,Nvidia GTX 1060-6GB,59.1%
270,36285255,103%,90%,96%,AMD Ryzen 5 3600,86.7%,Nvidia RTX 2060S (Super),115.9%
271,36285263,46%,85%,38%,Intel Core i5-8400,82.4%,Nvidia GTX 1060-3GB,53.4%
272,36285269,14%,58%,14%,AMD Ryzen 7 4800H,59.7%,AMD Radeon Graphics,8.5%
273,36285272,19%,86%,18%,Intel Xeon E-2186M,88.4%,Intel UHD Graphics P630,10.7%
274,36285279,82%,100%,79%,Intel Core i7-8700K,93.7%,Nvidia GTX 980-Ti,81.7%
275,36285281,94%,93%,88%,AMD Ryzen 5 3600XT,87%,AMD RX 5700-XT,103.4%
276,36285286,23%,83%,22%,AMD Ryzen 5 2600,81.1%,Nvidia GTX 750-Ti,17.2%
277,36285314,140%,100%,144%,AMD Ryzen 7 PRO 3700 8-Core,95.6%,Nvidia RTX 2080S (Super),145.4%
278,36285317,58%,102%,47%,Intel Core i5-6600K,93.5%,Nvidia GTX 1060-6GB,53.6%
279,36285321,145%,93%,137%,AMD Ryzen 5 3600,86.1%,Nvidia RTX 3070,169.5%
280,36285326,3%,46%,2%,Intel Core i3 540,47.3%,ATI FirePro V4800 (FireGL V),5.8%
281,36285329,41%,85%,33%,Intel Core i5-4590,78.8%,Nvidia GTX 970,48%
282,36285333,105%,98%,101%,Intel Core i7-10875H,95.2%,Nvidia RTX 2070S (Super Mobile),107.3%
283,36285334,13%,90%,13%,Intel Core i7-9700K,103.5%,Intel UHD Graphics 630,4.6%
285,36285372,76%,83%,73%,AMD Ryzen 5 3600XT,83.6%,Nvidia RTX 2060,92.4%
286,36285373,18%,89%,16%,Intel Core i7-1065G7,83.2%,Intel Iris Plus G7,11.3%
287,36285377,84%,84%,81%,AMD Ryzen 5 3600,79.5%,AMD RX 5700-XT,103.4%
288,36285380,6%,48%,6%,Intel Core i7-6820HQ,43.7%,Intel HD 530 (Mobile Skylake),5.2%
289,36285385,193%,105%,194%,Intel Core i9-9900KF,101.6%,Nvidia RTX 3070,192.6%
290,36285388,119%,101%,133%,AMD Ryzen 9 3900X,96.4%,AMD RX 5700-XT,119.9%
291,36285394,70%,90%,66%,AMD Ryzen 5 3600X,84.3%,Nvidia GTX 1660-Ti,79.9%
292,36285397,25%,77%,21%,Intel Core i5-9300H,69.1%,Nvidia GTX 1650 (Mobile),24.5%
293,36285465,81%,81%,79%,AMD Ryzen 7 2700X,77.9%,Nvidia RTX 2070,101.7%
295,36285468,4%,52%,4%,Intel Core i5-3570K,65%,Intel HD 4000 (Desktop 1.15 GHz),1.8%
296,36285470,6%,62%,5%,Intel Core i5-3570K,72.4%,Intel HD 4000 (Desktop 1.15 GHz),3.2%
297,36285477,87%,96%,82%,AMD Ryzen 5 3600XT,90.2%,Nvidia RTX 2060,92%
298,36285486,17%,67%,13%,AMD FX-6300,63.3%,Nvidia GTX 760,25%
299,36285488,115%,85%,110%,AMD Ryzen 5 3600X,83.3%,Nvidia RTX 2080,139.8%
300,36285517,32%,77%,25%,Intel Core i5-4590,69%,AMD RX 480,40.7%
301,36285520,47%,93%,41%,Intel Core i7-6700K,80.1%,Nvidia GTX 970,49.8%
302,36285523,93%,98%,136%,AMD Ryzen TR 3960X,92.2%,Nvidia RTX 3090,95%
303,36285532,60%,78%,57%,AMD Ryzen 5 3600,70.7%,Nvidia RTX 2060,81.2%
304,36285537,58%,87%,49%,Intel Core i5-9400,84%,Nvidia GTX 1660,67.5%
305,36285542,17%,94%,17%,Intel Core i7-9700K,100.8%,Intel UHD Graphics 630,5.4%
306,36285547,18%,74%,14%,Intel Core i5-6400,71.6%,Nvidia GTX 950,25%
307,36285549,97%,92%,91%,AMD Ryzen 5 3600,88.6%,AMD RX 5700-XT,106%
308,36285554,107%,97%,99%,AMD Ryzen 5 3600X,95.4%,AMD RX 5700-XT,109%
309,36285557,9%,67%,9%,Intel Core i7-3840QM,72.4%,Intel HD 4000 (Mobile 1.25 GHz),3.9%
310,36285560,99%,97%,94%,Intel Core i7-9700K,97.5%,Nvidia RTX 2070,100.3%
311,36285563,80%,96%,76%,AMD Ryzen 5 3600,87.1%,Nvidia GTX 1070,84.2%
312,36285567,40%,87%,33%,Intel Core i3-9100F,81.4%,Nvidia GTX 1650,45.7%
313,36285568,11%,63%,9%,Intel Core i7-5500U,54%,AMD Radeon  R9 M375,10.1%
314,36285635,12%,68%,11%,Intel Core i5-8265U,68.6%,Intel UHD Graphics 620,5.8%
315,36290407,164%,103%,167%,AMD Ryzen 7 5800X,100.7%,Nvidia RTX 3070,165.8%
316,36290411,95%,94%,89%,AMD Ryzen 5 3600X,87.4%,AMD RX 5700-XT,104%
317,36290413,39%,90%,34%,Intel Core i7-6700K,87.6%,Nvidia GTX 960,38.6%
318,36290420,27%,82%,23%,Intel Core i5-7600K,69.7%,Nvidia GTX 1050-Ti,29.6%
319,36290421,11%,72%,10%,Intel Core i7-4940MX,72.6%,Nvidia Quadro K2100M,6.8%
320,36290424,103%,98%,93%,Intel Core i7-8700K,98%,Nvidia GTX 1080,101.2%
321,36290431,19%,84%,16%,Intel Core i5-9600K,86.3%,AMD RX 570,22.7%
322,36290433,127%,96%,108%,Intel Core i5-9600K,97%,Nvidia RTX 2070S (Super),131.3%
323,36290438,116%,79%,96%,Intel Core i7-6700,73.6%,Nvidia RTX 2080-Ti,158.7%
324,36290445,35%,82%,30%,Intel Core i7-3770K,76.8%,AMD RX 570,40.9%
325,36290447,77%,83%,68%,Intel Core i7-8700K,83.8%,Nvidia GTX 1070-Ti,91.6%
326,36290467,208%,98%,209%,Intel Core i9-9900K,94.4%,Nvidia RTX 3090,226.6%
327,36290470,182%,93%,181%,AMD Ryzen 7 3700X,91.2%,Nvidia RTX 3080,204.5%
328,36290471,27%,69%,20%,Intel Pentium G4400,55.2%,Nvidia GTX 780,44.8%
329,36290473,15%,93%,14%,Intel Core i7-10750H,96.4%,Intel UHD Graphics,9.3%
330,36290477,94%,100%,81%,Intel Core i5-8600K,101.1%,Nvidia GTX 1070,88.4%
331,36290481,188%,89%,175%,AMD Ryzen 5 3600,87.7%,Nvidia RTX 3080,220.4%
332,36290484,25%,93%,26%,AMD Ryzen 7 4800H,88.4%,AMD Radeon Graphics,17.9%
333,36290487,79%,97%,73%,Intel Core i7-10700F,100.4%,Nvidia GTX 1660-Ti,77.4%
334,36290490,73%,86%,71%,AMD Ryzen 5 3600X,80.3%,Nvidia RTX 2060,87.8%
335,36290496,83%,90%,76%,Intel Core i5-10400,85.4%,Nvidia RTX 2060,94.2%
336,36290498,6%,63%,5%,Intel Core i7-4710HQ,73.4%,Intel HD 4600 (Mobile 1.15 GHz),4.8%
337,36290519,279%,109%,303%,Intel Core i9-10900KF,107.9%,Nvidia RTX 3090,267.2%
338,36290523,88%,100%,100%,AMD Ryzen 9 3900X,94.3%,Nvidia GTX 1070,87.4%
339,36290524,77%,90%,74%,AMD Ryzen 5 3600,80.4%,AMD RX 5600-XT,89.7%
340,36290526,64%,89%,54%,Intel Core i5-9400F,87.3%,Nvidia GTX 1660,71.8%
341,36290530,108%,103%,97%,AMD Ryzen 5 5600X,102.5%,AMD RX 5700-XT,102.3%
342,36290531,134%,107%,127%,AMD Ryzen 9 5900X,101.1%,Nvidia GTX 1080-Ti,130.7%
343,36290534,52%,88%,41%,Intel Core i5-7500,80%,Nvidia GTX 1060-6GB,58.7%
344,36290537,2%,43%,2%,Intel Core i3 530,42.7%,AMD Radeon HD 5450,1%
345,36290542,55%,86%,49%,AMD Ryzen 3 3100,79.6%,Nvidia GTX 1650S (Super),61.2%
346,36290547,71%,91%,70%,AMD Ryzen 7 3700X,87.9%,Nvidia GTX 1070,75.7%
347,36290551,94%,86%,98%,AMD Ryzen 7 3800X,88.7%,Nvidia RTX 2070,108.7%
348,36290555,34%,85%,28%,Intel Core i5-6500,79.8%,AMD R9 380,35.8%
349,36290592,84%,91%,85%,AMD Ryzen 7 3700X,85.7%,AMD RX 5700-XT,94.6%
350,36290598,88%,94%,83%,AMD Ryzen 5 3600,85.6%,Nvidia GTX 1080,97.4%
351,36290603,59%,82%,56%,AMD Ryzen 5 2600X,71.2%,Nvidia GTX 1660-Ti,75%
352,36290606,47%,92%,38%,Intel Core i5-7500,82.4%,Nvidia GTX 1060-3GB,49.3%
353,36290612,116%,97%,110%,Intel Core i7-9700F,98.3%,Nvidia RTX 2070,116%
354,36290617,79%,86%,66%,Intel Core i7-6700,82.1%,Nvidia RTX 2060,93.4%
355,36290666,104%,86%,95%,Intel Core i7-9700K,81%,Nvidia RTX 2080S (Super),126.7%
356,36290673,77%,80%,73%,AMD Ryzen 7 2700,75.3%,Nvidia RTX 2060S (Super),96.3%
357,36290676,143%,104%,144%,Intel Core i7-10700K,101.5%,Nvidia GTX 1080-Ti,139.9%
358,36290692,3%,52%,2%,Intel Core i3-5015U,52.9%,Intel HD 5500 (Mobile 0.95 GHz),3.4%
359,36290695,120%,99%,105%,Intel Core i7-8700,95.1%,Nvidia GTX 1080-Ti,125.3%
360,36290697,63%,93%,57%,Intel Core i7-9750H,89.6%,Nvidia RTX 2060 (Mobile),64.8%
361,36290699,78%,94%,70%,Intel Core i7-9700K,92.8%,Nvidia RTX 2060,85.9%
362,36290702,58%,107%,61%,Intel Core i9-10900,103.8%,Nvidia GTX 1650,47.8%
363,36290705,19%,72%,15%,Intel Core i3-7100,60.2%,AMD RX 470,27%
364,36290706,17%,69%,16%,AMD Ryzen 5 3400GE Vega Graphics,62.7%,AMD Radeon RX Vega 11 Graphics,14.5%
365,36290712,22%,72%,18%,Intel Core i7-3770,71%,Nvidia GTX 680,32.3%
366,36290714,3%,53%,3%,Intel Core i7-7500U,57.4%,Intel HD 620 (Mobile Kaby Lake),4.9%
367,36290715,41%,72%,32%,Intel Core i5-7500,67%,Nvidia GTX 1060-6GB,57%
368,36290720,212%,95%,380%,AMD Ryzen TR 3970X,85.3%,Nvidia RTX 3090,253.2%
369,36290724,82%,93%,78%,AMD Ryzen 5 3600X,89.6%,Nvidia RTX 2060,86.1%
370,36290726,124%,100%,122%,Intel Core i9-9900KF,98.3%,Nvidia RTX 2070S (Super),126.3%
371,36290727,5%,51%,4%,Intel Core i5-6200U,52.6%,Intel HD 520 (Mobile Skylake),4.4%
372,36290729,58%,85%,57%,AMD Ryzen 5 3600,79.2%,Nvidia GTX 1660,71.1%
373,36290732,128%,96%,109%,Intel Core i5-9600K,96.5%,Nvidia RTX 2070S (Super),132.5%
374,36290735,20%,82%,16%,Intel Core i5-3570K,78.7%,Nvidia GTX 750-Ti,18.1%
375,36290740,30%,89%,24%,Intel Core i5-4670K,88.5%,Nvidia GTX 770,31.4%
376,36290744,90%,87%,82%,Intel Xeon E5-1650 v2,84.3%,Nvidia GTX 1080,105.4%
377,36290746,69%,93%,63%,Intel Core i5-10600KF,95.9%,Nvidia GTX 1660S (Super),72.5%
378,36290751,5%,54%,5%,Intel Core i7-7700HQ,59.8%,Intel HD Graphics 630,7.6%
379,36290757,46%,82%,43%,AMD Ryzen 5 1600X,78.9%,Nvidia GTX 1060-6GB,49.4%
380,36290758,78%,97%,72%,Intel Core i7-10700F,99.9%,Nvidia GTX 1660-Ti,77.2%
381,36290760,65%,80%,59%,AMD Ryzen 5 1600AF,72.5%,Nvidia GTX 1660-Ti,81.9%
382,36291206,74%,89%,65%,Intel Core i7-4770K,80.3%,Nvidia GTX 1070,88.8%
383,36291247,138%,96%,209%,AMD Ryzen TR 3960X,89.5%,Nvidia RTX 2080S (Super),152.2%
384,36291250,2%,34%,2%,Intel Celeron N4100,37.6%,Intel UHD Graphics 600,1.6%
385,36291290,91%,88%,75%,Intel Core i7-4790K,86%,Nvidia GTX 1080,103.1%
386,36291291,10%,66%,8%,Intel Core i5-8250U,63.7%,Nvidia MX150-0,14.5%
387,36291910,46%,81%,42%,AMD Ryzen 5 2600X,76.7%,Nvidia GTX 1060-6GB,53.8%
388,36291912,73%,76%,66%,AMD Ryzen 5 1400,58.8%,Nvidia RTX 2070S (Super),116.7%
389,36291913,12%,64%,11%,AMD Ryzen 5 2500U,63.8%,AMD RX Vega 8 (Ryzen iGPU),9.4%
390,36291914,18%,86%,17%,AMD Ryzen 5 4600H,88.7%,AMD Radeon Graphics,13.3%
391,36291916,57%,98%,59%,Intel Core i7-10700K,93.3%,Nvidia GTX 970,53.3%
393,36291919,8%,55%,8%,Intel Core i7-10510U,56.6%,Intel UHD Graphics,5.2%
394,36291921,46%,84%,38%,Intel Core i7-8750H,84.4%,Nvidia GTX 1060 (Mobile),53%
395,36291924,18%,74%,16%,AMD Ryzen 3 3200G,74.1%,AMD Radeon Vega 8 Graphics,12.5%
396,36291926,58%,67%,51%,AMD Ryzen 5 1500X,59.7%,Nvidia GTX 1080,90.8%
398,36291933,29%,79%,25%,Intel Core i7-7700HQ,72.9%,Nvidia GTX 1050-Ti (Mobile),30.5%
399,36291934,67%,104%,64%,Intel Core i7-8700K,98.8%,Nvidia GTX 1080,61.6%
400,36291935,84%,83%,85%,AMD Ryzen 7 1700X,78.2%,Nvidia RTX 2060S (Super),102.7%
401,36291937,90%,87%,93%,AMD Ryzen 7 3700X,86.6%,Nvidia RTX 2060S (Super),102.9%
402,36291945,58%,92%,54%,AMD Ryzen 5 3600,90.6%,Nvidia GTX 1060-6GB,57%
403,36291948,49%,90%,41%,Intel Core i5-9600K,96.7%,AMD RX 570,51.2%
404,36291952,233%,103%,235%,Intel Core i7-10700K,99.5%,Nvidia RTX 3090,242.1%
405,36291957,21%,84%,20%,AMD Ryzen 5 3600,85.8%,Nvidia GTX 750-Ti,17%
406,36291959,30%,97%,30%,AMD Ryzen 9 4900HS,92.1%,AMD Radeon Graphics,21.1%
407,36291961,222%,103%,236%,Intel Core i9-10900K,100.7%,Nvidia RTX 3090,228.5%
408,36291965,171%,100%,162%,Intel Core i7-9700K,102%,Nvidia RTX 3070,169.9%
409,36291974,59%,92%,53%,AMD Ryzen 3 3100,81.1%,Nvidia GTX 1650S (Super),63.6%
410,36291976,116%,93%,118%,AMD Ryzen 7 2700X,87.6%,Nvidia RTX 2070S (Super),128.5%
412,36291978,30%,87%,26%,Intel Core i5-8400,89.1%,Nvidia GTX 1050-Ti,28.9%
413,36291980,102%,106%,88%,Intel Core i5-9600KF,104.3%,Nvidia GTX 980-Ti,93.1%
414,36291984,134%,101%,123%,Intel Core i7-8086K,95.2%,Nvidia GTX 1080-Ti,138.6%
415,36291985,83%,86%,78%,AMD Ryzen 5 2600X,81.4%,AMD RX 5700-XT,102.1%
416,36291994,52%,94%,44%,Intel Core i5-8400,86.2%,Nvidia GTX 1060-3GB,53.3%
417,36291996,213%,98%,200%,Intel Core i7-9700K,100.3%,Nvidia RTX 3090,220.6%
418,36291997,12%,72%,11%,Intel Core i7-4810MQ,76.1%,Nvidia Quadro K2100M,7.2%
419,36291999,11%,58%,10%,AMD Ryzen 3 3200G,56.2%,AMD Radeon Vega 8 Graphics,11.5%
420,36292021,28%,75%,26%,AMD Ryzen 5 1600,66.9%,Nvidia GTX 1050-Ti,31.9%
421,36292024,88%,97%,81%,Intel Core i5-10400,93%,Nvidia RTX 2060,91.2%
422,36292026,15%,90%,15%,Intel Core i9-10900K,102.7%,Intel UHD Graphics 630,5.4%
423,36292070,17%,87%,16%,Intel Core i5-9300H,86.3%,Intel UHD Graphics 630,8.8%
424,36292071,78%,90%,83%,AMD Ryzen 7 3700X,82.2%,AMD RX 5600-XT,90.3%
425,36292074,52%,90%,50%,AMD Ryzen 5 3600X,86.7%,Nvidia GTX 1080,52.7%
426,36292079,130%,97%,142%,Intel Core i9-7940X,97.8%,Nvidia GTX 1080-Ti,132.3%
427,36292083,72%,85%,71%,AMD Ryzen 7 2700X,83.4%,Nvidia GTX 1070-Ti,80.9%
428,36292084,15%,66%,12%,AMD FX-8320,63.8%,Nvidia GTX 760,22.3%
429,36292085,150%,97%,151%,AMD Ryzen 7 3700X,91.9%,Nvidia RTX 3060-Ti,163.8%
430,36292086,7%,41%,6%,AMD Ryzen 7 3750H,40.8%,AMD Radeon RX Vega 10 Graphics,5%
431,36292087,27%,78%,22%,Intel Core i7 860,78.3%,AMD HD 7950,35.1%
432,36292089,65%,75%,55%,AMD Ryzen 5 3400G,72.1%,Nvidia RTX 2060,89.3%
433,36292093,249%,108%,254%,Intel Core i9-9900K,106.3%,Nvidia RTX 3080,240.3%
434,36292098,6%,29%,6%,Intel Core i7-4720HQ,33.9%,Intel HD 4600 (Mobile 1.15 GHz),2.4%
436,36292103,116%,99%,112%,Intel Core i9-10980HK,97.2%,Nvidia RTX 2080S (Super Mobile),118.1%
437,36292104,87%,98%,79%,Intel Core i7-10750H,90.4%,Nvidia RTX 2070 (Mobile),91.2%
438,36292112,229%,105%,233%,Intel Core i9-9900K,102.6%,Nvidia RTX 3080,229.5%
439,36292117,99%,87%,93%,AMD Ryzen 5 2600,82.6%,Nvidia RTX 2070,115%
440,36292124,90%,91%,78%,Intel Core i7-6700K,85.4%,Nvidia GTX 1080,103.8%
441,36292125,16%,72%,15%,AMD Ryzen 3 2200G,74.3%,AMD RX Vega 8 (Ryzen iGPU),11.1%
442,36292128,1%,47%,1%,AMD A10-6700 APU (2013 D.Ri),58.3%,AMD Radeon HD 8670D,3%
443,36292130,170%,106%,167%,AMD Ryzen 7 5800X,103.3%,Nvidia RTX 3070,165%
444,36292137,16%,74%,14%,AMD Ryzen 3 3200G,77.2%,AMD Radeon Vega 8 Graphics,12.9%
445,36292139,115%,107%,99%,Intel Core i7-8700K,103.7%,Nvidia GTX 1080,107.4%
446,36292145,4%,61%,4%,Intel Core i5-2300,70.8%,Intel HD 2000 (Desktop 1.1 GHz),0.8%
447,36292150,64%,82%,52%,Intel Core i7-2600,77.7%,Nvidia GTX 1660-Ti,80.6%
448,36292152,94%,86%,92%,AMD Ryzen 5 3600,77.8%,AMD RX 5700-XT,116.5%
449,36292155,2%,52%,2%,Intel Pentium G2020,50.5%,Intel HD 2500 (Desktop 1.05 GHz),1.3%
450,36292157,49%,94%,40%,Intel Core i3-9100F,91.1%,AMD RX 570,48%
451,36292167,91%,91%,84%,AMD Ryzen 5 3600,88.7%,Nvidia RTX 2070,99.4%
452,36292171,101%,95%,99%,AMD Ryzen 7 3700X,88.5%,Nvidia GTX 1080,109.5%
453,36292173,48%,81%,45%,AMD Ryzen 5 1600,76.1%,AMD RX 570,53.4%
455,36292179,94%,69%,122%,AMD Ryzen 9 3900X,60.8%,Nvidia RTX 2080-Ti,147.7%
456,36292180,50%,81%,42%,Intel Core i7-1065G7,64.4%,Nvidia GTX 1070-Ti,65%
457,36292181,8%,71%,8%,Intel Core i7-8750H,80.1%,Intel UHD Graphics 630,8.6%
458,36292186,93%,100%,86%,Intel Core i7-9700K,99.6%,Nvidia RTX 2060,90.7%
459,36292189,103%,98%,104%,AMD Ryzen 7 3700X,91.3%,AMD RX 5700-XT,108.6%
460,36292191,8%,70%,8%,Intel Core i7-3770,77.2%,Nvidia GeForce GT 630,3%
461,36292197,113%,88%,104%,AMD Ryzen 5 2600X,85.5%,Nvidia GTX 1080-Ti,128.5%
462,36292199,124%,105%,118%,Intel Core i7-9700K,102.4%,Nvidia RTX 2070,117.7%
463,36292201,3%,40%,2%,AMD Phenom 8650 Triple-Core,36.9%,AMD HD 7770,13.3%
464,36292202,156%,95%,144%,Intel Core i7-8700K,96.1%,Nvidia RTX 2080-Ti,166.6%
465,36292204,14%,71%,11%,Intel Core i3-3220,64%,Nvidia GTX 750-Ti,17.6%
466,36292210,72%,96%,66%,Intel Core i5-10400,91.9%,Nvidia RTX 2060S (Super),71.5%
467,36292215,54%,96%,44%,Intel Core i3-9100,86.7%,AMD RX 580,54.5%
468,36292218,69%,94%,58%,Intel Core i5-9400F,89.9%,Nvidia GTX 1660S (Super),70.9%
469,36292219,138%,97%,207%,AMD Ryzen TR 3960X,93.3%,Nvidia RTX 2080S (Super),150.8%
470,36292227,10%,60%,8%,AMD FX-6300,61.1%,AMD Radeon RX550/550,14.3%
471,36292229,7%,58%,6%,Intel Core i5-4210U,56.1%,Nvidia GeForce 840M,6.2%
472,36292233,179%,103%,184%,AMD Ryzen 7 5800X,100.1%,AMD RX 6800-XT,180.4%
473,36292235,104%,106%,106%,AMD Ryzen 7 5800X,103.9%,Nvidia GTX 1070-Ti,96.5%
474,36292237,86%,93%,88%,AMD Ryzen 7 3700X,88.2%,Nvidia RTX 2060S (Super),93.6%
475,36292239,70%,83%,61%,AMD Ryzen 5 2600,85.1%,Nvidia GTX 1070,79%
476,36292249,13%,72%,10%,Intel Xeon E3-1240,73.9%,Nvidia GTX 650-Ti,15.8%
477,36292252,55%,74%,43%,Intel Core i5-4690K,66%,Nvidia GTX 980-Ti,82%
478,36292253,116%,99%,109%,AMD Ryzen 5 3600,92.1%,AMD RX 5700-XT,121.6%
479,36292255,122%,109%,131%,Intel Core i9-10900K,105.8%,Nvidia RTX 3090,112.5%
480,36292258,35%,97%,38%,AMD Ryzen 9 3900X,91.5%,Nvidia RTX 2080,27.1%
481,36292265,111%,92%,92%,Intel Core i7-7700K,93.8%,AMD RX 5700-XT,118.6%
482,36292268,6%,46%,6%,"AMD FX-8800P Radeon R7, 12 Compute Cores 4C+8G",44.7%,AMD Radeon R7 Graphics,6%
483,36292270,91%,92%,84%,Intel Core i7-10875H,78.5%,Nvidia RTX 2070S (Super Mobile),109.7%
484,36292273,58%,100%,58%,Intel Core i9-9900K,100.7%,AMD RX 580,50.9%
485,36292281,72%,94%,72%,AMD Ryzen 7 3700X,88.6%,Nvidia GTX 1660S (Super),74.3%
486,36292283,29%,75%,26%,AMD Ryzen 5 1500X,67%,Nvidia GTX 1050-Ti,28.8%
487,36292286,104%,82%,86%,Intel Core i7-6700K,72.9%,Nvidia GTX 1080-Ti,142.4%
488,36292289,57%,98%,58%,AMD Ryzen 7 3700X,92.4%,AMD RX 580,53.7%
490,36292290,14%,71%,13%,AMD Ryzen 7 3750H,68.2%,AMD Radeon RX Vega 10 Graphics,13.6%
491,36292291,19%,76%,16%,Intel Core i3-6100,66.3%,AMD RX 460,18.6%
492,36292294,14%,64%,13%,AMD Ryzen 3 3300U,64.7%,AMD Radeon Vega 6 Graphics,8.4%
493,36292302,128%,95%,148%,AMD Ryzen 9 3900X,89.7%,Nvidia GTX 1080-Ti,140.7%
494,36292306,18%,73%,14%,Intel Core i5-2500,73.2%,Nvidia GTX 760,26%
495,36292307,13%,72%,12%,AMD Ryzen 5 2400G,75.8%,Nvidia GTX 1660,6.4%
496,36292550,23%,88%,21%,Intel Core i7-8750H,83.3%,Nvidia GTX 1050 (Mobile),21.9%
497,36292551,207%,103%,221%,Intel Core i9-10900KF,103.4%,Nvidia RTX 3080,207%
498,36292553,137%,102%,155%,AMD Ryzen 9 3900XT,97%,Nvidia RTX 2080,139%
499,36292555,1%,48%,1%,Intel Core i7-3610QM,67.5%,Intel HD 4000 (Mobile 1.25 GHz),0.8%
500,36292561,200%,101%,179%,Intel Core i7-9700K,104.5%,Nvidia RTX 3080,196.6%
501,36292566,64%,87%,59%,Intel Core i7-9700K,91.3%,Nvidia GTX 1660,70%
502,36292569,39%,79%,31%,AMD Ryzen 3 2200G,75.1%,AMD RX 570,47.5%
503,36292570,71%,73%,61%,Intel Xeon E5-2678 v3,67.6%,Nvidia Quadro P5000,96.4%
504,36292574,74%,79%,75%,AMD Ryzen 7 1800X,75.9%,Nvidia GTX 1070-Ti,94.7%
505,36292577,56%,90%,49%,Intel Core i5-9600K,93.3%,Nvidia GTX 1060-6GB,59%
506,36292578,146%,93%,123%,Intel Core i5-9600K,93.2%,Nvidia RTX 3070,160.4%
507,36292592,53%,93%,50%,AMD Ryzen 5 3600X,91.9%,AMD RX 580,49.9%
508,36292596,170%,90%,157%,Intel Core i7-5820K,84.8%,Nvidia RTX 3080,202.4%
509,36292598,44%,79%,36%,Intel Core i7-2600,74.5%,Nvidia GTX 1060-6GB,56.3%
510,36292599,100%,95%,90%,Intel Core i7-9700K,96.7%,Nvidia RTX 2070,103.3%
511,36292603,63%,81%,54%,AMD Ryzen 5 2400G,77.1%,Nvidia GTX 1660,75.7%
512,36292606,91%,93%,84%,Intel Core i7-8700K,93%,Nvidia GTX 1070-Ti,95.7%
513,36292611,243%,106%,244%,Intel Core i7-10700K,102%,Nvidia RTX 3090,244.2%
514,36292612,196%,104%,201%,AMD Ryzen 7 5800X,98.8%,Nvidia RTX 3080,201.4%
515,36292616,15%,79%,14%,AMD Ryzen 5 4500U,83.1%,AMD Radeon Graphics,11.8%
516,36292617,100%,87%,85%,Intel Core i7-7700,79.1%,Nvidia GTX 1080-Ti,125.3%
517,36292621,227%,106%,258%,AMD Ryzen 9 5900X,104.4%,Nvidia RTX 3080,221.8%
518,36292623,124%,101%,134%,Intel Core i7-10700K,89.8%,Nvidia GTX 1080-Ti,137.1%
519,36292627,72%,99%,70%,AMD Ryzen 5 5600X,92.9%,Nvidia GTX 1660,73.2%
520,36292628,8%,58%,7%,Intel Core i5-5200U,58.1%,Intel HD 5500 (Mobile 0.95 GHz),4%
521,36292635,34%,69%,27%,Intel Xeon W3550,62.2%,AMD RX 580,52.6%
522,36292639,17%,81%,16%,AMD Ryzen 3 3200G,78.9%,Nvidia GTX 760,7.6%
523,36292641,190%,91%,177%,AMD Ryzen 5 3600,87.1%,Nvidia RTX 3080,223.4%
524,36292644,6%,69%,5%,Intel Core i5-7400,78.5%,Intel HD 630 (Desktop Kaby Lake),5.1%
525,36292648,145%,103%,126%,Intel Core i5-9600KF,103.3%,Nvidia GTX 1080-Ti,139.5%
526,36292649,159%,108%,155%,Intel Core i7-9700K,106.4%,Nvidia RTX 2080S (Super),149.8%
527,36292650,35%,100%,33%,Intel Core i7-8700K,92.4%,Nvidia GTX 960,28.9%
528,36292655,239%,101%,268%,Intel Core i9-10900K,98.3%,Nvidia RTX 3090,252.3%
529,36292658,53%,75%,47%,AMD Ryzen 7 3750H,66.2%,Nvidia RTX 2060 (Mobile),72.7%
530,36292659,72%,94%,66%,Intel Core i5-10400F,92.1%,Nvidia GTX 1660S (Super),73%
531,36292671,88%,111%,95%,Intel Core i9-10900K,109.5%,Nvidia GTX 1660S (Super),75.2%
532,36292675,2%,31%,2%,AMD A4-6210 APU R3 Graphics,32.1%,AMD Radeon R3 Graphics,1.6%
533,36292678,2%,62%,2%,Intel Core i3-4170,67.2%,Intel HD 4400 (Desktop 1.15 GHz),2.5%
534,36292688,20%,83%,18%,Intel Core i7-1065G7,78.7%,Intel Iris Plus G7,13.8%
535,36292696,142%,103%,136%,Intel Core i7-9700K,98.6%,Nvidia RTX 2080S (Super),142.6%
536,36292698,230%,109%,260%,AMD Ryzen 9 5900X,106.9%,Nvidia RTX 3080,220.6%
537,36292700,118%,86%,100%,Intel Core i5-9400F,84.9%,Nvidia RTX 2080,140.6%
538,36292704,17%,84%,16%,Intel Core i5-9300H,84.2%,Intel UHD Graphics 630,9.6%
539,36292707,109%,92%,92%,Intel Core i7-7700K,87.4%,Nvidia GTX 1080-Ti,124.5%
540,36292708,88%,96%,89%,AMD Ryzen 7 3700X,92.4%,AMD RX 5600-XT,90.8%
541,36292712,75%,94%,79%,Intel Core i7-10700F,93.6%,Nvidia GTX 1660S (Super),77.7%
542,36292714,100%,100%,92%,Intel Core i5-10600K,96%,Nvidia GTX 1070-Ti,102.3%
543,36292726,112%,94%,114%,AMD Ryzen 7 3800X,92.1%,Nvidia RTX 2070S (Super),120.7%
544,36292728,202%,102%,184%,Intel Core i7-8700K,102.4%,Nvidia RTX 3080,200.8%
